List Date,company_name,issue_size(Cr),QIB_subscription,NII_subscription,RII_subscription,Total_subscription,offer_price(Rs),list_price(Rs),listing_gains(%)
30-Dec-24,Ventive Hospitalit...,1600,9.08,13.85,5.87,9.8,643,718.15,11.69
30-Dec-24,Carraro India Ltd,1250,2.21,0.6,0.71,1.12,704,660,-6.25
30-Dec-24,Senores Pharmaceut...,582.11,94.66,96.11,89.23,93.41,391,593.7,51.84
27-Dec-24,Transrail Lighting...,838.91,201.06,76.41,22.07,80.8,432,585.15,35.45
27-Dec-24,Dam Capital Adviso...,840.25,166.33,98.62,27.13,82.08,283,392.9,38.83
27-Dec-24,Mamata Machinery L...,179.35,235.88,274.38,138.08,194.95,243,600,146.91
27-Dec-24,Sanathan Textiles ...,550,75.62,42.21,8.93,35.12,321,419.1,30.56
27-Dec-24,Concord Enviro Sys...,500.33,17.32,14.2,5.56,10.67,701,832,18.69
20-Dec-24,International Gemm...,4225,45.8,24.84,11.21,33.78,417,504.85,21.07
19-Dec-24,Inventurus Knowled...,2497.92,80.64,23.25,14.55,52.68,1329,1856,39.65
18-Dec-24,Sai Life Sciences ...,3042.62,30.93,4.92,1.37,10.26,549,660,20.22
18-Dec-24,Vishal Mega Mart L...,8000,80.75,14.25,2.31,27.28,78,110,41.03
18-Dec-24,One Mobikwik Syste...,572,119.5,108.95,134.67,119.38,279,442.25,58.51
06-Dec-24,Suraksha Diagnosti...,846.25,1.74,1.41,0.95,1.27,441,437,-0.91
29-Nov-24,Enviro Infra Engin...,650.3,157.05,153.8,24.48,89.9,148,218,47.3
27-Nov-24,NTPC Green Energy ...,10000,3.32,0.81,3.44,2.42,108,111.6,3.33
22-Nov-24,Zinka Logistics So...,1114.72,2.76,0.24,1.66,1.86,273,279.05,2.22
14-Nov-24,Niva Bupa Health I...,2200,2.06,0.68,2.73,1.8,74,78.5,6.08
13-Nov-24,Swiggy Ltd,11327.4,6.02,0.41,1.14,3.59,390,412,5.64
13-Nov-24,ACME Solar Holding...,2900,3.54,0.97,3.1,2.75,289,259,-10.38
12-Nov-24,Sagility India Ltd,2106.4,3.52,1.93,4.16,3.2,30,31.06,3.53
04-Nov-24,Afcons Infrastruct...,5430,3.79,5.05,0.94,2.63,463,430.05,-7.12
30-Oct-24,Godavari Biorefine...,554.75,2.76,0.9,1.71,1.83,352,310.55,-11.78
28-Oct-24,Deepak Builders & ...,260.04,13.91,82.47,39.79,41.54,203,198.5,-2.22
28-Oct-24,Waaree Energies Lt...,4321.44,208.63,62.49,10.79,76.34,1503,2550,69.66
22-Oct-24,Hyundai Motor Indi...,27858.8,6.97,0.6,0.5,2.37,1960,1931,-1.48
15-Oct-24,Garuda Constructio...,264.1,1.24,9.03,10.81,7.55,95,103.2,8.63
04-Oct-24,Diffusion Engineer...,157.96,95.74,207.6,85.61,114.49,168,188,11.9
03-Oct-24,KRN Heat Exchanger...,341.95,253.04,431.63,98.29,214.42,220,470,113.64
30-Sep-24,Manba Finance Ltd,150.84,148.55,511.62,143.95,224.05,120,150,25
24-Sep-24,Arkade Developers ...,410,163.16,163.02,51.39,106.83,128,175.9,37.42
24-Sep-24,Northern ARC Capit...,777,240.79,142.41,31.08,110.91,263,351,33.46
24-Sep-24,Western Carriers (...,492.88,27.99,44.71,25.95,30.57,172,170,-1.16
17-Sep-24,P N Gadgil Jewelle...,1100,136.85,56.08,16.58,59.4,480,834,73.75
16-Sep-24,Tolins Tyres Ltd,230,25.42,27.41,21.52,23.89,226,227,0.44
16-Sep-24,Bajaj Housing Fina...,6560,209.36,41.51,7.04,63.61,70,150,114.29
16-Sep-24,Kross Ltd,500,23.32,22.24,10.76,16.81,240,240,0
12-Sep-24,Shree Tirupati Bal...,169.65,150.87,210.12,73.22,124.75,83,92.9,11.93
09-Sep-24,Gala Precision Eng...,167.93,232.54,414.62,91.95,201.41,529,750,41.78
06-Sep-24,Baazar Style Retai...,834.68,81.83,59.43,9.12,40.66,389,389,0
04-Sep-24,Ecos (India) Mobil...,601.2,136.85,71.23,19.79,64.26,334,391.3,17.16
03-Sep-24,Premier Energies L...,2830.4,216.67,50.04,7.69,74.38,450,991,120.22
28-Aug-24,Orient Technologie...,214.76,189.9,300.6,66.87,151.71,206,290,40.78
26-Aug-24,Interarch Building...,600.29,205.41,128.42,19.11,93.53,900,1291.2,43.47
20-Aug-24,Saraswati Saree De...,160.01,64.12,358.65,61.88,107.52,160,200,25
13-Aug-24,Brainbees Solution...,4193.73,19.3,4.68,2.31,12.22,465,625,34.41
13-Aug-24,Unicommerce eSolut...,276.57,138.75,252.48,131.15,168.39,108,230,112.96
