List Date,company_name,issue_size(Cr),QIB_subscription,NII_subscription,RII_subscription,Total_subscription,offer_price(Rs),list_price(Rs),listing_gains(%)
16-Aug-21,Devyani Internatio...,1838,95.27,213.06,39.52,116.71,90,141,56.67
16-Aug-21,Windlas Biotech Lt...,401.54,24.4,15.73,24.27,22.47,460,439,-4.57
16-Aug-21,Exxaro Tiles Ltd,160.77,17.67,5.36,40.1,22.68,120,126,5
16-Aug-21,Krsnaa Diagnostics...,1213.34,49.83,116.3,42.04,64.4,954,1025,7.44
09-Aug-21,Rolex Rings Ltd,731.1,143.58,360.11,24.49,130.44,900,1249,38.78
06-Aug-21,Alivus Life Scienc...,1513.6,36.97,122.54,14.63,44.17,720,751.1,4.32
29-Jul-21,Tatva Chintan Phar...,500,185.23,512.22,35.35,180.36,1083,2111.8,95
23-Jul-21,Eternal Ltd,9375,51.79,32.96,7.45,38.25,76,115,51.32
19-Jul-21,G R Infraprojects ...,962.33,75.4,165.03,7.69,59.1,837,1700,103.11
19-Jul-21,Clean Science & Te...,1546.62,70.31,110.28,5.71,46.57,900,1784.4,98.27
05-Jul-21,India Pesticides L...,800,42.95,51.88,11.3,29.04,296,360,21.62
28-Jun-21,Dodla Dairy Ltd,520.18,84.88,73.26,11.33,45.61,428,528,23.36
28-Jun-21,Krishna Institute ...,2143.74,5.26,1.89,2.9,3.86,825,1008.9,22.29
24-Jun-21,Sona BLW Precision...,5550,3.46,0.39,1.57,2.28,291,302.4,3.92
24-Jun-21,Shyam Metalics & E...,908.55,155.71,339.98,11.58,121.4,306,367,19.93
14-May-21,Powergrid Infrastr...,7734.99,4.63,5.07,0,4.83,100,104,4
19-Apr-21,Macrotech Develope...,2500,3.05,1.44,0.4,1.36,486,439,-9.67
07-Apr-21,Barbeque-Nation Ho...,452.87,5.11,3.1,13.13,5.98,500,492,-1.6
30-Mar-21,Nazara Technologie...,582.69,103.77,389.89,75.29,175.46,1101,1971,79.02
26-Mar-21,Suryoday Small Fin...,580.84,2.18,1.31,3.09,2.37,305,293,-3.93
26-Mar-21,Kalyan Jewellers I...,1174.82,2.76,1.91,2.82,2.61,87,73.9,-15.06
25-Mar-21,Craftsman Automati...,823.7,5.21,2.84,3.43,3.81,1490,1350,-9.4
25-Mar-21,Laxmi Organic Indu...,600,175.43,217.62,20.06,106.79,130,156.2,20.15
24-Mar-21,Anupam Rasayan Ind...,760,65.74,97.42,10.77,44.06,555,534.7,-3.66
19-Mar-21,Easy Trip Planners...,510,77.53,382.21,70.4,159.33,187,206,10.16
15-Mar-21,MTAR Technologies ...,596.41,164.99,650.79,28.4,200.79,575,1063.9,85.03
05-Mar-21,Heranba Industries...,625.24,67.45,271.15,11.84,83.29,627,900,43.54
26-Feb-21,Railtel Corporatio...,819.24,65.14,73.25,16.78,42.39,94,104.6,11.28
25-Feb-21,Nureca Ltd,100,3.1,31.59,166.65,39.93,400,634.95,58.74
16-Feb-21,Brookfield India R...,3800,4.78,11.74,0,7.94,275,275.05,0.02
05-Feb-21,Stove Kraft Ltd,412.63,8.02,32.72,26.04,18.03,385,467,21.3
03-Feb-21,Home First Finance...,1153.72,52.53,39,6.59,26.66,518,612.15,18.18
02-Feb-21,Indigo Paints Ltd,1169.12,189.57,263.05,15.93,117.02,1490,2607.5,75
29-Jan-21,Indian Railway Fin...,4633.38,3.78,2.67,3.66,3.49,26,25,-3.85
01-Jan-21,Antony Waste Handl...,299.99,9.67,18.69,16.55,15.04,315,430,36.51
01-Jan-21,Antony Waste Handl...,299.99,0.89,0.26,0.37,0.49,315,430,36.51
24-Dec-20,Mrs Bectors Food S...,540.54,176.85,620.86,29.33,198.02,288,501,73.96
14-Dec-20,Restaurant Brands ...,810,86.64,354.11,68.15,156.65,60,115.35,92.25
20-Nov-20,Gland Pharma Ltd,6479.55,6.4,0.51,0.24,2.06,1500,1701,13.4
02-Nov-20,Equitas Small Fina...,517.6,3.91,0.22,2.08,1.95,33,31,-6.06
12-Oct-20,UTI Asset Manageme...,2159.88,3.34,0.93,2.32,2.31,554,490.25,-11.51
15-Oct-20,Likhitha Infrastru...,61.2,21.99,1.54,23.71,9.51,120,130.1,8.42
12-Oct-20,Mazagon Dock Shipb...,443.69,89.71,678.88,35.63,157.41,145,216.25,49.14
05-Oct-20,Angel One Ltd,600,3.07,0.11,1.83,1.81,306,275,-10.13
01-Oct-20,Computer Age Manag...,2242.11,73.18,111.85,5.55,46.99,1230,1518,23.41
01-Oct-20,Chemcon Speciality...,318,113.54,449.14,41.21,149.33,340,730.95,114.99
21-Sep-20,Route Mobile Ltd,600,89.76,192.81,12.67,73.3,350,708,102.29
14-Dec-20,Restaurant Brands ...,810,86.64,354.11,68.15,156.65,60,115.35,92.25
20-Nov-20,Gland Pharma Ltd,6479.55,6.4,0.51,0.24,2.06,1500,1701,13.4
02-Nov-20,Equitas Small Fina...,517.6,3.91,0.22,2.08,1.95,33,31,-6.06
12-Oct-20,UTI Asset Manageme...,2159.88,3.34,0.93,2.32,2.31,554,490.25,-11.51
15-Oct-20,Likhitha Infrastru...,61.2,21.99,1.54,23.71,9.51,120,130.1,8.42
12-Oct-20,Mazagon Dock Shipb...,443.69,89.71,678.88,35.63,157.41,145,216.25,49.14
05-Oct-20,Angel One Ltd,600,3.07,0.11,1.83,1.81,306,275,-10.13
01-Oct-20,Computer Age Manag...,2242.11,73.18,111.85,5.55,46.99,1230,1518,23.41
01-Oct-20,Chemcon Speciality...,318,113.54,449.14,41.21,149.33,340,730.95,114.99
21-Sep-20,Route Mobile Ltd,600,89.76,192.81,12.67,73.3,350,708,102.29
20-Aug-19,Sterling & Wilson ...,2849.64,1.02,0.89,0.3,0.85,780,700,-10.26
19-Aug-19,Spandana Sphoorty ...,1189.85,3.11,0.55,0.09,1.05,856,824,-3.74
08-Aug-19,Affle 3i Ltd,459,55.31,198.69,10.96,86.49,745,929.9,24.82
04-Jul-19,Indiamart Intermes...,475.59,14.92,15.78,3.03,12.95,973,1180,21.27
08-May-19,Neogen Chemicals L...,132.35,30.49,113.88,16.06,41.18,215,251,16.74
16-Apr-19,Polycab India Ltd,1345.26,92.44,110.42,4.65,51.96,538,633,17.66
15-Apr-19,Metropolis Healthc...,1204.29,8.88,3.03,2.21,5.84,880,960,9.09
11-Apr-19,Rail Vikas Nigam L...,477.11,1.36,0.8,2.93,1.83,19,19,0
01-Apr-19,Embassy Office Par...,4750,2.15,3.09,0,2.57,300,300,0
29-Mar-19,MSTC Ltd,211.04,0.29,1.71,2.18,0.7,120,111,-7.5
07-Feb-19,Chalet Hotels Ltd,1641.18,4.66,1.1,0.03,1.57,280,291,3.93
04-Feb-19,Xelpmoc Design and...,23,1.24,7.69,2.64,3.25,66,56,-15.15
08-Oct-18,AAVAS Financiers L...,1640.32,2.77,0.26,0.25,0.97,821,758,-7.67
10-Oct-18,Garden Reach Shipb...,343.59,1.81,0.31,0.24,1.02,118,104,-11.86
28-Sep-18,Ircon Internationa...,466.94,12.29,4.92,10.07,9.9,475,410.3,-13.62
23-Aug-18,CreditAccess Grame...,1131.19,5.52,0.98,0.88,2.22,422,385,-8.77
06-Aug-18,HDFC Asset Managem...,2800.33,192.26,195.15,6.73,83.06,1100,1739,58.09
30-Jul-18,TCNS Clothing Co. ...,1125.13,13.47,5.08,0.67,5.27,716,715,-0.14
06-Jul-18,Varroc Engineering...,1954.96,9.16,2.45,0.95,3.59,967,1032,6.72
02-Jul-18,Fine Organic Indus...,600.17,12.86,21.01,1.62,8.99,783,815,4.09
